,,,Cars24  ·  Project Protect — Challan Billboard Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracker Sheet
,,,,,Traffic Police Permission,,,Municipal Corporation Permission,,,3 · Location Scouting,,,,,4 · Procurement,,,5 · Installation,,,6 · Technical & Go-Live,,,,,,,,,Challan Billboard
City,Current Phase,Progress,Permission POC,Vendor POC,Meeting Done,MoU Sent,MoU Signed,Meeting Done,Application Sent,Signed,Recce Done,Location Identified,Mockup Received,Site Permission (TP+Municipal),Layout Finalised,PR Raised,PO Released,Advance Released,Foundation Done,Screen Installed,Screen Live,ANPR camera installed,Electricity & WiFi done,API in place,Testing live,Testing completed,BILLBOARD LIVE,Last update,Remarks,Expected Go Live Date,Challan Billboard
Bangalore,Gate 6 · Technical & Go-Live,0.826,Prachi Sharma,Pooja Jena,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,In Progress,In Progress,Done,In Progress,Pending,Done,Wed Jun 10 2026 20:39:29 GMT+0530 (India Standard Time),Permissions received; installing ANPR cameras on junction. Upgrade of original viral site + MG Road.,31st May,Challan Billboard
Jaipur,Gate 6 · Technical & Go-Live,0.957,Yuvraj Yadav,Yuvraj Yadav,Done,Done,Pending,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Sat Jun 13 2026 21:14:13 GMT+0530 (India Standard Time),Rambagh live in testing; OTS camera offline (wires cut). Full launch + enforcement app at DCP inauguration.,Tomorrow,Challan Billboard
Gurgaon,Gate 5 · Installation,0.652,Yuvraj Yadav,Mohit Yadav,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,In Progress,Pending,In Progress,Pending,Pending,Pending,Pending,Pending,Thu Jun 11 2026 12:14:10 GMT+0530 (India Standard Time),MCG permission resolved 1 Jun; concrete/foundation done 2 Jun. Targeting live by 10 Jun.,,Challan Billboard
Pune,Gate 3 · Location Scouting,0.217,Yuvraj Yadav,Mohit Yadav,Done,Done,Done,Done,In Progress,Pending,In Progress,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Wed Jun 10 2026 20:39:44 GMT+0530 (India Standard Time),"Pending, will travel to Pune on Monday",,Challan Billboard
Ahmedabad,Gate 2 · Municipal Permission,0.261,Yashwardhan Verma,Pooja Jena,Done,Done,Done,Done,In Progress,Pending,Done,In Progress,Pending,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Wed Jun 10 2026 20:10:30 GMT+0530 (India Standard Time),MoU signed; AMC municipal approval expected ~10 days (new AMC board just formed).,,Challan Billboard
Thane,Gate 1 · TP Permission,0.13,Akshay Manchanda,Pooja Jena,Done,Done,Pending,Pending,Pending,Pending,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Wed Jun 10 2026 20:24:09 GMT+0530 (India Standard Time),Site recce in process; permission to follow once site finalised.,,Challan Billboard
Surat,Gate 1 · TP Permission,0.13,Yuvraj Yadav,Yuvraj Yadav,Done,In Progress,Pending,Pending,Pending,Pending,Done,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Wed Jun 10 2026 20:24:23 GMT+0530 (India Standard Time),CP / Addl CP / DCP met and impressed; billboard + signage approvals expected in 10–15 days.,Next week,Challan Billboard
Ranchi,Gate 1 · TP Permission,0.043,Yuvraj Yadav,Yuvraj Yadav,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Wed Jun 10 2026 20:24:10 GMT+0530 (India Standard Time),Met SP and ADG; final approval meeting pending.,,Challan Billboard
Ghaziabad,Gate 1 · TP Permission,0.043,Yuvraj Yadav,Mohit Yadav,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Intro meeting with Addl CP / ADCP done; decision meeting scheduled next week.,,Challan Billboard
